transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
94,86,1,12/23/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482
3765,38,1,4/6/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,39526
5157,47,1,5/11/2017,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,37823
9785,72,1,1/5/2017,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37873
13424,2,1,2/21/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,38573
13644,25,1,5/19/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552
14486,23,1,3/27/2017,0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455
14931,31,1,12/14/2017,1,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337
15663,32,1,6/4/2017,1,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,40618
16423,9,1,12/9/2017,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,37838
18970,11,1,3/29/2017,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,35378
2261,1,2,5/4/2017,1,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40784
6743,85,2,6/11/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,38206
16411,26,2,8/24/2017,0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,37337
10302,33,3,2/23/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,41009
11005,94,3,9/16/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41009
11784,55,3,4/21/2017,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,41701
12954,77,3,4/5/2017,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,36833
13285,47,3,9/4/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,40303
15188,82,3,3/24/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,37499
19498,5,3,9/19/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,36145
12441,95,4,4/3/2017,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874
14648,62,4,6/18/2017,1,Approved,Solex,Standard,medium,medium,478.16,298.72,34143
2250,34,5,8/16/2017,0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526
2291,23,5,3/3/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244
2534,84,5,5/3/2017,0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,37626
7692,39,5,12/14/2017,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,39526
13058,96,5,5/26/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,33364
19993,13,5,4/28/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,39880
902,0,6,5/21/2017,0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364
4013,0,6,9/16/2017,0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,36361
5749,54,6,10/27/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,40410
7096,77,6,1/28/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41848
8204,12,6,2/6/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226
3954,5,7,4/21/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,38258
18369,72,7,2/18/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37499
18549,22,7,2/24/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,42404
3688,15,8,9/22/2017,1,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345
5321,3,8,12/8/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37823
7636,34,8,7/13/2017,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,41064
8415,76,8,4/11/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482
9039,4,8,10/21/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698
10792,89,8,1/4/2017,1,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,42560
13266,4,8,10/4/2017,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698
15024,1,8,4/21/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,35667
17199,45,8,8/11/2017,0,Approved,Solex,Standard,medium,medium,441.49,84.99,42172
2501,59,9,5/10/2017,0,Approved,Solex,Standard,medium,large,1061.56,733.58,42172
2979,85,9,3/6/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,36367
4233,36,9,10/13/2017,0,Approved,Solex,Standard,low,medium,945.04,507.58,40336
8591,69,9,2/4/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,41922
9405,6,9,8/20/2017,0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,41701
10662,38,9,9/30/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40336
4565,5,10,8/26/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,38258
5956,21,10,6/20/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,34115
10250,44,10,7/13/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,39427
14899,69,10,8/9/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859
18946,53,10,11/17/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172
6004,28,11,4/2/2017,0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455
9240,10,11,10/30/2017,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701
10444,30,11,8/2/2017,0,Approved,Solex,Standard,high,medium,748.17,448.9,33552
14370,10,11,7/9/2017,0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701
18879,4,11,11/14/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573
5985,39,12,8/21/2017,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336
6705,72,12,9/4/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
6741,72,12,2/12/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
12242,91,12,7/23/2017,0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367
13818,44,12,8/21/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
14250,34,12,10/24/2017,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698
19219,28,12,9/16/2017,0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455
8905,66,13,2/16/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,35378
11839,9,13,8/2/2017,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527
13486,17,13,11/17/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,37539
15101,49,13,3/1/2017,1,Approved,Solex,Standard,medium,large,1061.56,733.58,36146
17639,0,13,12/3/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,41922
17763,92,13,1/6/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146
19988,0,13,4/5/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42105
6044,56,14,11/13/2017,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707
16253,68,14,5/11/2017,0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410
19381,23,14,10/27/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244
434,67,15,3/10/2017,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
7896,26,15,7/30/2017,0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115
10707,41,15,9/20/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,35560
11788,33,15,6/7/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
17528,2,15,1/20/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
17963,81,15,11/25/2017,1,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429
1405,3,16,8/17/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37220
5083,94,16,5/10/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39915
13585,68,16,9/22/2017,1,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,42172
14760,96,16,2/12/2017,0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,40336
17935,99,16,7/31/2017,0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,33364
1404,62,17,3/14/2017,0,Approved,Solex,Standard,medium,medium,478.16,298.72,33879
5316,78,17,11/14/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42218
10775,1,17,5/1/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38573
12747,70,17,10/11/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,36668
17135,49,17,12/30/2017,0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,35707
3506,87,18,7/15/2017,1,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,35667
3777,11,18,5/11/2017,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298
7092,97,18,3/25/2017,1,Approved,Solex,Standard,medium,large,202.62,151.96,42458
8622,94,18,5/16/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
11227,40,18,7/5/2017,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750
11922,10,18,6/24/2017,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701
17282,16,18,8/18/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586
4664,7,19,1/31/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
14850,87,19,3/25/2017,0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410
6657,4,20,11/1/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698
11330,94,20,11/29/2017,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427
14766,48,20,11/20/2017,0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,42688
18030,3,20,6/11/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37499
2932,37,21,8/17/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
4778,3,21,10/22/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701
8915,72,21,12/24/2017,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922
14115,25,21,2/12/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,36334
19616,16,21,11/17/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34165
118,20,22,3/21/2017,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303
3480,32,22,9/18/2017,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337
3504,38,22,7/16/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618
4601,65,22,5/29/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145
8207,53,22,9/19/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470
14956,45,22,9/24/2017,1,Approved,Solex,Standard,medium,medium,441.49,84.99,34071
16626,100,22,3/10/2017,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364
17002,64,22,1/6/2017,1,Cancelled,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047
5598,85,23,12/20/2017,0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,42226
7429,54,23,10/6/2017,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42710
7951,19,23,8/3/2017,1,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,39298
15587,77,23,10/9/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41848
17698,98,23,5/16/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,34170
18219,0,23,3/27/2017,1,Approved,Solex,Standard,medium,large,202.62,151.96,42458
1783,53,24,12/13/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35707
9249,52,24,11/13/2017,1,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,39915
14099,89,24,10/12/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,38482
15874,11,24,5/13/2017,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39880
15926,2,24,1/25/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41167
19078,40,24,10/31/2017,0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39526
19263,76,24,10/5/2017,1,Approved,WeareA2B,Standard,low,medium,642.31,513.85,40553
2354,53,25,3/4/2017,1,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172
4309,39,25,5/23/2017,1,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991
5770,41,25,9/4/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,39526
6552,54,25,4/15/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,42295
7196,18,25,11/23/2017,0,Approved,Solex,Standard,medium,medium,575.27,431.45,40670
9193,6,25,9/17/2017,0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838
10224,59,25,7/10/2017,0,Approved,Solex,Standard,medium,large,1061.56,733.58,36146
11765,6,25,3/8/2017,1,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,38258
15291,28,25,4/1/2017,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,39031
16026,22,25,2/8/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,42696
17826,78,25,12/25/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,35455
19252,67,25,12/1/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,37499
3749,96,26,4/15/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,38002
7674,80,26,4/2/2017,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35667
849,57,27,7/18/2017,1,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,42145
1275,97,27,4/8/2017,0,Approved,Solex,Standard,medium,large,202.62,151.96,42458
5053,45,27,7/25/2017,0,Approved,Solex,Standard,medium,medium,441.49,84.99,38991
5662,92,27,5/28/2017,1,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,36833
5970,15,27,6/18/2017,0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345
11751,28,27,8/9/2017,0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696
13771,79,27,7/23/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,35455
7048,63,28,10/8/2017,1,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879
7775,72,28,1/23/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922
8139,70,28,1/31/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,34996
8422,19,28,7/21/2017,1,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244
11105,26,28,4/20/2017,1,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,33888
13007,82,28,7/16/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,38339
661,87,29,9/16/2017,0,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,35667
1898,80,29,3/28/2017,0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455
7093,84,29,8/22/2017,0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339
7691,65,29,10/12/2017,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145
10676,53,29,1/4/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470
14982,38,29,12/8/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618
16431,44,29,8/30/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
19016,80,29,4/10/2017,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455
19532,46,29,1/25/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
1739,3,30,6/16/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40784
3214,41,30,4/2/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,41064
8164,74,30,12/19/2017,1,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,33429
420,97,31,5/25/2017,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,41701
4321,99,31,3/21/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,41064
11652,22,31,7/15/2017,1,Approved,Solex,Standard,medium,medium,575.27,431.45,42404
14858,0,31,10/2/2017,1,Approved,Solex,Standard,medium,medium,71.49,53.62,38573
99,95,32,3/26/2017,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874
4734,21,32,4/12/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,35160
8735,25,32,8/14/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
10210,97,32,5/9/2017,0,Approved,Solex,Standard,medium,large,202.62,151.96,42458
15069,43,32,1/14/2017,0,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498
15346,94,32,6/1/2017,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
15922,8,32,5/5/2017,0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649
3731,54,33,5/30/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,37823
5415,44,33,11/22/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37220
6156,99,33,3/20/2017,1,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556
6231,7,33,9/12/2017,0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,42560
7024,18,33,7/29/2017,1,Cancelled,Solex,Standard,medium,medium,575.27,431.45,34165
7443,48,33,9/17/2017,1,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,39915
11789,20,33,9/28/2017,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,34165
1039,8,34,7/1/2017,1,Approved,Solex,Road,medium,small,1703.52,1516.13,40649
1107,15,34,8/22/2017,0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693
2638,83,34,4/7/2017,0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533
9044,12,34,2/13/2017,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216
9792,60,34,6/25/2017,1,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779
12083,13,34,7/23/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560
17808,96,34,4/10/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539
19291,65,34,9/19/2017,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145
3417,70,35,3/30/2017,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,40553
5637,98,35,6/23/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42710
15032,15,35,3/28/2017,1,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,35667
17891,27,35,9/29/2017,0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,35052
1418,22,36,4/8/2017,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
8348,47,36,7/20/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991
231,46,37,8/12/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
3748,14,37,10/9/2017,0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996
5998,0,37,7/5/2017,1,Approved,Solex,Standard,medium,medium,478.16,298.72,34143
6664,86,37,5/1/2017,0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698
9874,99,37,9/12/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991
10824,0,37,5/7/2017,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
13475,36,37,3/5/2017,1,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
14725,38,37,12/23/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167
16239,69,37,11/9/2017,1,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553
7384,46,38,11/10/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
9453,60,38,8/22/2017,0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779
9816,13,38,8/13/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560
14512,2,38,1/23/2017,1,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
2557,69,39,11/26/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879
2850,37,39,8/28/2017,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
3561,30,39,9/23/2017,0,Approved,Solex,Standard,high,medium,748.17,448.9,33552
